 2.75,  3.79,  3.21
 2.80,  1.42,  5.13
 2.01,  3.11,  3.35
 2.02,  1.32,  3.13
 3.28,  4.61,  3.55
 2.69,  3.06,  3.72
 3.15,  1.10,  5.46
 2.72,  2.61,  4.39
 3.07,  4.20,  4.81
 2.91,  3.77,  3.46
 3.61,  3.45,  5.70
 0.91,  1.42,  1.51
 2.45,  5.00,  2.90
 3.18,  2.82,  5.27
 2.65,  2.93,  3.78
 1.51,  4.66,  0.68
 1.76,  3.16,  2.60
 1.38,  4.05,  0.82
 2.85,  2.65,  4.34
 2.52,  2.99,  3.32
 3.33,  3.79,  4.59
 2.82,  3.34,  4.41
 2.83,  2.89,  3.39
 4.71,  4.31,  8.44
 2.81,  2.42,  4.32
 2.83,  2.35,  3.89
 3.51,  1.58,  6.63
 1.87,  3.49,  1.71
 3.00,  3.24,  4.66
 2.02,  3.67,  2.50
 3.57,  4.36,  5.30
 1.59,  1.37,  3.07
 4.28,  4.27,  5.95
 4.03,  4.00,  5.54
 3.78,  2.30,  5.82
 1.97,  1.27,  3.29
 2.60,  2.16,  3.96
 3.13,  3.38,  4.87
 5.93,  3.52, 10.12
 3.20,  3.66,  3.96
 3.60,  1.95,  5.27
 2.44,  4.78,  2.88
 0.82,  1.95,  0.52
 4.58,  2.19,  7.74
 1.39,  2.26,  1.33
 3.40,  1.77,  6.96
 3.26,  3.38,  4.37
 2.93,  1.09,  5.39
 3.04,  4.57,  4.09
 2.09,  3.28,  2.51
 0.80,  3.91, -0.14
 2.18,  2.72,  3.31
 3.50,  1.13,  7.11
 2.11,  2.32,  2.50
 3.73,  2.41,  6.18
 4.91,  2.87,  8.61
 3.48,  0.20,  5.67
 3.68,  4.18,  5.29
 4.13,  4.18,  5.80
 3.12,  2.72,  5.18
 3.04,  4.76,  3.37
 1.98,  3.33,  2.49
 2.46,  3.60,  4.04
 2.47,  4.05,  2.36
 2.65,  1.80,  4.45
 2.20,  3.82,  2.99
 5.53,  3.55,  8.99
 1.35,  4.95,  0.19
 3.32,  3.79,  4.96
 2.74,  3.75,  2.60
 2.42,  1.24,  4.68
 2.15,  3.61,  2.26
 3.24,  3.58,  4.78
 3.84,  2.43,  5.78
 2.68,  3.08,  3.95
 3.66,  3.86,  5.03
 2.43,  1.20,  3.97
 1.94,  1.67,  3.33
 4.55,  2.78,  7.85
 3.34,  3.50,  5.36
 1.92,  5.04,  1.82
 2.71,  2.45,  4.32
 1.63,  4.45, -0.19
 3.80,  5.57,  5.94
 3.20,  5.54,  3.52
 3.66,  2.38,  6.20
 3.80,  4.36,  5.54
 2.56,  4.35,  2.27
 2.85,  2.99,  4.21
 3.09,  1.80,  5.12
 2.96,  3.96,  3.04
 2.23,  4.21,  2.51
 1.82,  3.40,  2.91
 2.66,  1.51,  4.79
 4.48,  3.93,  7.25
 2.15,  2.77,  2.76
 1.09,  1.58,  1.85
 3.13,  4.81,  3.73
 2.24,  1.74,  2.85
 2.58,  3.51,  3.47
