 2.17,  3.71,  1.62
 2.51,  2.96,  3.37
 2.39,  4.18, -0.20
 4.57,  3.32,  6.29
 1.90,  4.69, -0.94
 2.78,  4.06, -0.22
 2.18,  4.85, -2.46
 1.78,  4.81, -1.21
 2.60,  2.18,  5.03
 2.69,  3.14,  2.95
 2.03,  3.01,  3.54
 4.78,  2.10, 12.28
 3.07,  1.70,  6.67
 4.06,  3.68,  2.84
 1.66,  2.61,  4.53
 1.94,  2.65,  4.21
 3.85,  4.62, -2.49
 3.77,  4.78, -3.54
 0.62,  1.97,  6.96
 0.82,  1.58,  6.27
 1.65,  4.04,  1.90
 2.32,  3.50,  2.03
 1.65,  4.04,  1.66
 2.81,  2.18,  5.30
 2.66,  4.62, -2.39
 4.39,  0.99, 13.59
 2.48,  3.03,  3.21
 3.31,  3.91,  0.41
 4.19,  1.92,  9.94
 2.18,  4.25, -0.15
 3.64,  4.17, -0.40
 2.65,  1.40,  6.24
 2.22,  3.28,  2.69
 4.05,  2.90,  6.07
 1.46,  3.09,  4.18
 4.41,  2.98,  7.14
 3.47,  2.59,  5.46
 2.80,  1.36,  6.68
 2.39,  3.83,  0.95
 3.14,  1.52,  7.38
 3.23,  4.85, -3.88
 0.83,  4.86,  2.76
 2.95,  2.58,  4.59
 2.07,  3.87,  1.29
 1.88,  2.55,  4.39
 4.53,  4.29,  0.77
 2.44,  2.51,  4.35
 3.65,  4.93, -4.36
 3.41,  1.23,  8.68
 1.18,  1.48,  5.63
 3.43,  3.12,  3.63
 2.54,  2.39,  4.64
 2.70,  3.50,  1.81
 4.29,  4.11,  1.11
 1.68,  2.51,  4.62
 3.02,  2.46,  4.89
 2.20,  2.57,  4.15
 3.31,  1.67,  7.41
 1.49,  3.19,  3.98
 2.82,  1.22,  6.81
 3.00,  2.41,  5.07
 2.96,  1.61,  6.62
 1.68,  3.84,  2.25
 4.49,  1.73, 11.90
 3.68,  4.92, -4.27
 3.37,  4.90, -4.15
 3.39,  1.35,  8.35
 4.82,  4.66, -0.92
 2.74,  3.23,  2.67
 2.10,  1.82,  5.19
 1.77,  1.04,  5.33
 2.41,  2.99,  3.25
 2.08,  4.33, -0.38
 0.74,  3.81,  5.32
 1.61,  1.58,  5.32
 2.69,  4.96, -4.06
 2.20,  3.24,  2.84
 2.83,  1.49,  6.54
 1.64,  4.31,  0.96
 3.51,  4.05,  0.05
 2.84,  1.27,  6.77
 4.02,  3.44,  3.99
 3.25,  4.25, -1.11
 3.72,  2.60,  6.10
 3.85,  3.95,  1.00
 4.63,  3.47,  5.56
 2.30,  4.43, -1.04
 1.44,  3.37,  3.76
 3.16,  2.71,  4.62
 1.85,  4.90, -1.60
 4.37,  3.26,  5.59
 3.55,  2.81,  5.05
 3.28,  1.32,  7.88
 3.93,  2.02,  8.84
 3.21,  2.14,  6.19
 2.67,  1.44,  6.23
 1.68,  1.16,  5.32
 3.36,  3.68,  1.56
 2.31,  1.71,  5.40
 3.87,  1.19, 10.51
