 1.87,  4.71
 1.95,  4.55
 2.09,  4.67
 2.20,  4.46
 2.22,  4.55
 2.42,  4.51
 2.53,  4.57
 2.56,  4.55
 2.59,  4.58
 2.59,  4.56
 2.65,  4.46
 2.80,  4.38
 2.80,  4.51
 2.83,  4.48
 2.85,  4.45
 2.87,  4.45
 2.90,  4.46
 2.90,  4.47
 2.97,  4.45
 2.97,  4.43
 2.97,  4.41
 2.98,  4.37
 3.15,  4.33
 3.18,  4.33
 3.18,  4.54
 3.23,  4.42
 3.27,  4.29
 3.32,  4.39
 3.33,  4.24
 3.35,  4.40
 3.38,  4.35
 3.40,  4.29
 3.42,  4.34
 3.45,  4.35
 3.45,  4.32
 3.50,  4.28
 3.58,  4.31
 3.69,  4.33
 3.70,  4.33
 3.72,  4.28
 3.74,  4.24
 3.75,  4.23
 3.77,  4.31
 3.85,  4.28
 3.90,  4.28
 3.90,  4.21
 3.91,  4.24
 3.92,  4.35
 3.99,  4.26
 4.04,  4.24
 4.04,  4.28
 4.05,  4.18
 4.07,  4.25
 4.10,  4.31
 4.12,  4.16
 4.16,  4.24
 4.21,  4.20
 4.23,  4.30
 4.24,  4.28
 4.24,  4.28
 4.32,  4.23
 4.35,  4.22
 4.35,  4.12
 4.36,  4.26
 4.43,  4.36
 4.45,  4.33
 4.45,  4.32
 4.47,  4.37
 4.49,  4.40
 4.57,  4.39
 4.59,  4.27
 4.60,  4.32
 4.60,  4.35
 4.61,  4.32
 4.71,  4.34
 4.75,  4.33
 4.77,  4.46
 4.78,  4.33
 4.82,  4.46
 4.90,  4.56
 4.97,  4.40
 4.99,  4.50
 5.02,  4.56
 5.05,  4.58
 5.05,  4.59
 5.06,  4.55
 5.15,  4.62
 5.20,  4.59
 5.28,  4.78
 5.28,  4.66
 5.33,  4.71
 5.38,  4.81
 5.40,  4.71
 5.54,  4.85
 5.66,  4.93
 5.69,  4.97
 5.77,  5.05
 5.84,  5.15
 5.99,  5.15
 6.21,  5.43
